,,,% of Total Count of UCGSES_ALL_r along Career var,Respondents
African American,2021,Strongly disagree,2%,10
,,Disagree,3%,15
,,Somewhat disagree,9%,45
,,Somewhat agree,22%,107
,,Agree,31%,151
,,Strongly agree,32%,152
,2023,Strongly disagree,2%,0
,,Disagree,4%,0
,,Somewhat disagree,6%,0
,,Somewhat agree,25%,0
,,Agree,31%,0
,,Strongly agree,33%,0
American Indian,2021,Strongly disagree,2%,2
,,Disagree,7%,8
,,Somewhat disagree,5%,6
,,Somewhat agree,35%,41
,,Agree,29%,34
,,Strongly agree,23%,27
,2023,Disagree,6%,0
,,Somewhat disagree,12%,0
,,Somewhat agree,29%,0
,,Agree,23%,0
,,Strongly agree,31%,0
Hispanic/Latino(a),2021,Strongly disagree,2%,25
,,Disagree,3%,42
,,Somewhat disagree,6%,82
,,Somewhat agree,26%,367
,,Agree,35%,487
,,Strongly agree,28%,395
,2023,Strongly disagree,2%,0
,,Disagree,3%,0
,,Somewhat disagree,7%,0
,,Somewhat agree,25%,0
,,Agree,32%,0
,,Strongly agree,31%,0
Asian/Pacific Islander,2021,Strongly disagree,2%,36
,,Disagree,2%,53
,,Somewhat disagree,7%,146
,,Somewhat agree,28%,601
,,Agree,34%,739
,,Strongly agree,27%,578
,2023,Strongly disagree,2%,0
,,Disagree,3%,0
,,Somewhat disagree,6%,0
,,Somewhat agree,28%,0
,,Agree,35%,0
,,Strongly agree,26%,0
White,2021,Strongly disagree,2%,76
,,Disagree,3%,125
,,Somewhat disagree,7%,295
,,Somewhat agree,26%,"1,095"
,,Agree,34%,"1,434"
,,Strongly agree,28%,"1,193"
,2023,Strongly disagree,2%,0
,,Disagree,3%,0
,,Somewhat disagree,7%,0
,,Somewhat agree,24%,0
,,Agree,35%,0
,,Strongly agree,30%,0
International,2021,Strongly disagree,1%,30
,,Disagree,3%,73
,,Somewhat disagree,7%,211
,,Somewhat agree,29%,828
,,Agree,38%,"1,107"
,,Strongly agree,22%,645
,2023,Strongly disagree,1%,0
,,Disagree,2%,0
,,Somewhat disagree,7%,0
,,Somewhat agree,28%,0
,,Agree,37%,0
,,Strongly agree,24%,0
Unknown,2021,Strongly disagree,2%,16
,,Disagree,3%,26
,,Somewhat disagree,7%,63
,,Somewhat agree,23%,201
,,Agree,34%,289
,,Strongly agree,30%,261
,2023,Strongly disagree,3%,0
,,Disagree,4%,0
,,Somewhat disagree,8%,0
,,Somewhat agree,23%,0
,,Agree,34%,0
,,Strongly agree,28%,0
